lugar;delito;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010
cantabria;1.1.-Homicidios dolosos/asesinatos;21;10;12;15;4;15;5;7;8;8;4;5;6;4;7
cantabria;1.1.1.-Homicidios dolosos/asesinatos consumados;3;0;1;4;1;6;2;3;0;3;3;4;1;2;2
cantabria;1.2.-Lesiones;1,566;1,587;1,504;1,244;1,042;1,300;1,424;1,323;1,341;1,366;1,304;1,405;1,448;1,603;1,519
cantabria;1.3.-Malos tratos ambito familiar;1,066;1,032;865;708;609;633;599;556;572;582;548;547;534;572;562
cantabria;1.4.-Otros contra las personas;129;109;82;102;93;105;82;55;50;700;1,456;1,223;1,304;1,532;1,476
cantabria;2. CONTRA LA LIBERTAD;1,903;1,775;1,655;1,695;1,450;1,455;1,366;1,344;1,261;864;356;331;359;384;375
cantabria;2.1.-Malos tratos habituales en el ambito familiar;190;190;163;149;129;135;121;125;145;126;133;138;146;157;188
cantabria;2.2.-Otros contra la libertad;1,713;1,585;1,492;1,546;1,321;1,320;1,245;1,219;1,116;738;223;193;213;227;187
cantabria;3. LIBERTAD SEXUAL;188;169;162;130;89;107;102;84;69;70;74;55;48;81;106
cantabria;3.1.-Agresion sexual;102;103;90;78;48;66;60;52;36;36;47;36;27;49;44
cantabria;3.2.-Agresion sexual con penetracion;43;34;39;30;16;15;15;16;8;13;8;7;9;16;22
cantabria;3.3.-Corrupcion de menores o incapacitados;1;3;4;1;2;2;1;0;0;1;4;0;2;0;5
cantabria;3.4.-Pornografia de menores;12;7;11;5;5;8;8;4;8;12;8;4;4;6;16
cantabria;3.5.-Otros contra la libertad sexual;30;22;18;16;18;16;18;12;17;8;7;8;6;10;19
cantabria;4. RELACIONES FAMILIARES;47;53;55;38;40;41;43;46;37;51;64;54;40;50;56
cantabria;5. PATRIMONIO;17,730;17,503;17,321;14,239;11,558;12,953;12,552;12,678;12,290;11,661;11,701;11,875;12,651;11,901;11,770
cantabria;5.1.-Hurtos;4,706;4,831;4,878;3,820;3,236;4,868;4,669;4,983;5,108;5,097;5,436;5,940;6,011;5,391;5,194
cantabria;5.2.-Robos con fuerza en las cosas;2,674;2,797;2,841;2,528;2,225;2,471;2,559;2,600;2,562;2,279;2,550;2,432;2,859;2,560;2,547
cantabria;5.2.1.-Robos con fuerza en las cosas en el interior de vehiculos;584;511;578;501;464;439;519;486;407;499;615;450;672;675;383
cantabria;5.2.2.-Robos con fuerza en viviendas;1,102;1,291;1,348;1,167;858;1,068;979;939;982;733;860;905;1,004;543;604
cantabria;5.2.3.-Robos con fuerza en establecimientos;454;465;445;437;499;540;581;686;664;528;532;543;603;507;641
cantabria;5.3.-Robos con violencia o intimidacion;245;255;242;194;178;223;177;214;214;261;296;371;419;323;397
cantabria;5.3.1.-Robos con violencia en via pública;131;129;109;99;82;110;88;127;109;149;166;199;242;185;277
cantabria;5.3.2.-Robos con violencia en viviendas;21;32;31;25;20;25;16;25;23;19;27;45;43;24;27
cantabria;5.3.3.-Robos con violencia en establecimientos;62;63;71;38;37;54;40;29;55;45;58;79;79;49;70
cantabria;5.4.-Sustraccion de vehiculos;165;116;86;140;100;132;123;207;245;250;245;264;344;330;396
cantabria;5.5.-Estafas;6,527;6,161;5,888;4,483;3,271;2,261;2,241;2,140;1,666;1,371;1,046;803;708;795;681
cantabria;5.5.1.-Estafas informaticas;5,774;5,428;4,349;3,243;2,513;1,766;1,704;1,419;1,028;776;589;281;233;231;210
cantabria;5.6.-Danos;2,525;2,620;2,760;2,426;2,039;2,245;2,052;2,024;1,956;1,735;1,672;1,672;1,935;2,207;2,286
cantabria;5.7.-Contra la propiedad intelectual/industrial;8;18;22;24;12;17;19;6;11;10;28;25;26;18;31
cantabria;5.8.-Blanqueo de capitales;2;6;2;2;0;0;2;1;1;3;0;0;2;3;16
cantabria;5.9.-Otros contra el patrimonio;878;699;602;622;497;736;710;503;527;655;428;368;347;274;222
castillayleon;1. CONTRA LAS PERSONAS;9,371;9,010;8,473;7,252;6,231;7,345;7,213;7,127;6,922;10,203;13,110;13,015;13,943;14,733;14,241
castillayleon;1.1.-Homicidios dolosos/asesinatos;56;58;55;38;44;38;34;30;28;27;44;41;48;47;38
castillayleon;1.1.1.-Homicidios dolosos/asesinatos consumados;12;10;16;13;16;8;11;13;11;9;14;19;15;20;10
castillayleon;1.2.-Lesiones;5,435;5,181;5,126;4,220;3,471;4,571;4,594;4,650;4,523;4,725;4,708;4,668;5,410;5,702;5,484
castillayleon;1.3.-Malos tratos ambito familiar;3,568;3,475;3,046;2,786;2,513;2,447;2,376;2,332;2,298;2,240;2,257;2,135;2,171;2,310;2,214
castillayleon;1.4.-Otros contra las personas;312;296;246;208;203;289;209;115;73;3,211;6,101;6,171;6,314;6,674;6,505
castillayleon;2. CONTRA LA LIBERTAD;6,590;6,397;6,075;6,143;5,340;5,398;5,270;5,083;5,110;3,208;1,242;1,221;1,220;1,266;1,260
castillayleon;2.1.-Malos tratos habituales en el ambito familiar;644;692;584;601;523;532;539;526;545;523;500;484;480;539;569
castillayleon;2.2.-Otros contra la libertad;5,946;5,705;5,491;5,542;4,817;4,866;4,731;4,557;4,565;2,685;742;737;740;727;691
castillayleon;3. LIBERTAD SEXUAL;745;711;620;527;415;507;439;368;289;282;281;238;309;278;295
castillayleon;3.1.-Agresion sexual;448;419;362;300;226;275;246;207;167;140;143;150;181;164;155
castillayleon;3.2.-Agresion sexual con penetracion;140;141;107;120;70;81;79;50;39;41;33;35;46;51;41
castillayleon;3.3.-Corrupcion de menores o incapacitados;21;22;23;19;12;15;10;21;10;23;18;7;7;6;7
castillayleon;3.4.-Pornografia de menores;30;34;44;22;27;31;44;23;28;21;20;15;26;16;34
castillayleon;3.5.-Otros contra la libertad sexual;106;95;84;66;80;105;60;67;45;57;67;31;49;41;58
castillayleon;4. RELACIONES FAMILIARES;221;201;189;174;138;196;180;226;203;251;270;282;290;248;229
castillayleon;5. PATRIMONIO;65,726;65,001;63,435;52,662;46,705;56,640;55,843;53,459;54,234;54,991;55,997;58,837;61,485;59,573;61,232
castillayleon;5.1.-Hurtos;17,388;17,611;17,361;13,785;11,414;19,206;19,715;21,070;22,480;24,474;25,336;28,107;28,694;27,745;28,537
castillayleon;5.2.-Robos con fuerza en las cosas;8,812;8,284;8,160;6,994;6,517;8,819;9,513;9,684;10,186;10,304;11,363;12,317;13,456;12,460;13,339
castillayleon;5.2.1.-Robos con fuerza en las cosas en el interior de vehiculos;2,103;1,964;1,564;1,528;1,526;1,658;1,650;1,679;1,637;1,667;1,954;2,203;2,333;2,850;2,862
castillayleon;5.2.2.-Robos con fuerza en viviendas;3,101;2,786;2,966;2,523;2,117;2,965;3,569;3,154;3,521;3,547;3,847;3,818;3,940;2,390;2,802
castillayleon;5.2.3.-Robos con fuerza en establecimientos;1,155;1,295;1,318;1,172;1,179;1,720;1,701;1,960;2,165;1,993;2,217;2,402;2,480;2,451;2,865
castillayleon;5.3.-Robos con violencia o intimidacion;761;817;710;625;542;706;708;726;847;914;948;1,121;1,199;1,276;1,321
castillayleon;5.3.1.-Robos con violencia en via pública;412;458;374;330;307;391;388;430;512;571;568;709;738;783;818
castillayleon;5.3.2.-Robos con violencia en viviendas;88;85;84;69;55;62;96;69;90;98;111;128;131;106;110
castillayleon;5.3.3.-Robos con violencia en establecimientos;185;194;159;146;110;163;141;130;130;130;153;168;179;215;273
castillayleon;5.4.-Sustraccion de vehiculos;549;485;512;466;400;573;572;659;901;789;757;790;976;1,120;1,410
castillayleon;5.5.-Estafas;25,265;25,535;23,982;18,445;17,531;14,634;13,157;9,555;7,852;6,319;5,092;4,138;4,130;3,618;3,173
castillayleon;5.5.1.-Estafas informaticas;22,366;22,722;18,968;14,457;13,841;9,464;6,511;4,606;3,370;2,411;1,874;1,403;1,172;849;845
castillayleon;5.6.-Danos;10,305;9,892;10,495;10,243;8,662;10,845;10,388;10,399;10,667;10,672;10,879;10,914;11,887;12,354;12,712
castillayleon;5.7.-Contra la propiedad intelectual/industrial;41;56;45;66;40;51;80;63;61;64;101;140;69;91;78
castillayleon;5.8.-Blanqueo de capitales;31;18;9;5;6;9;9;6;6;6;3;8;3;3;5
castillayleon;5.9.-Otros contra el patrimonio;2,574;2,303;2,161;2,033;1,593;1,797;1,701;1,297;1,234;1,449;1,518;1,302;1,071;906;657
castillalamancha;1. CONTRA LAS PERSONAS;9,292;8,729;8,388;7,346;6,376;7,335;6,828;6,583;6,383;8,877;11,389;11,134;11,949;12,264;12,305
castillalamancha;1.1.-Homicidios dolosos/asesinatos;67;60;66;78;52;41;37;46;38;38;47;34;37;27;44
castillalamancha;1.1.1.-Homicidios dolosos/asesinatos consumados;13;15;19;10;17;11;8;12;11;13;16;15;17;8;12
castillalamancha;1.2.-Lesiones;5,200;4,830;4,708;4,007;3,268;4,077;3,822;3,836;3,821;3,793;4,036;3,960;4,281;4,581;4,506
castillalamancha;1.3.-Malos tratos ambito familiar;3,830;3,651;3,436;3,109;2,906;3,048;2,858;2,607;2,457;2,493;2,431;2,334;2,474;2,503;2,635
castillalamancha;1.4.-Otros contra las personas;195;188;178;152;150;169;111;94;67;2,553;4,875;4,806;5,157;5,153;5,120
castillalamancha;2. CONTRA LA LIBERTAD;6,395;6,078;5,816;5,477;4,776;4,655;4,566;4,362;4,160;2,707;1,303;1,343;1,286;1,358;1,099
castillalamancha;2.1.-Malos tratos habituales en el ambito familiar;978;977;807;671;568;597;590;593;516;577;539;563;516;561;494
castillalamancha;2.2.-Otros contra la libertad;5,417;5,101;5,009;4,806;4,208;4,058;3,976;3,769;3,644;2,130;764;780;770;797;605
castillalamancha;3. LIBERTAD SEXUAL;719;718;619;563;452;520;489;371;348;309;285;309;258;327;307
castillalamancha;3.1.-Agresion sexual;470;454;403;359;296;327;287;211;189;189;172;177;160;198;174
castillalamancha;3.2.-Agresion sexual con penetracion;121;133;116;102;67;72;77;51;55;31;35;47;43;55;47
castillalamancha;3.3.-Corrupcion de menores o incapacitados;12;19;11;20;18;15;17;27;24;17;14;6;10;14;10
castillalamancha;3.4.-Pornografia de menores;31;27;13;21;16;31;34;18;15;21;18;11;15;12;24
castillalamancha;3.5.-Otros contra la libertad sexual;85;85;76;61;55;75;74;64;65;51;46;68;30;48;52
castillalamancha;4. RELACIONES FAMILIARES;316;335;389;328;327;326;298;335;336;355;382;392;340;241;222
castillalamancha;5. PATRIMONIO;57,526;58,871;57,046;45,899;42,905;50,473;49,886;46,528;46,605;49,126;50,648;53,668;53,616;52,494;50,702
castillalamancha;5.1.-Hurtos;14,378;14,785;14,393;10,970;9,588;13,831;14,490;15,200;15,746;17,080;17,463;18,960;18,808;18,555;17,432
castillalamancha;5.2.-Robos con fuerza en las cosas;10,912;11,034;10,344;8,622;9,102;11,888;13,287;13,183;14,383;15,750;16,892;18,593;18,255;17,690;17,045
castillalamancha;5.2.1.-Robos con fuerza en las cosas en el interior de vehiculos;2,803;2,767;2,349;2,010;2,248;2,688;2,917;2,583;2,651;2,760;2,767;3,126;3,357;3,261;2,249
castillalamancha;5.2.2.-Robos con fuerza en viviendas;3,552;3,588;3,307;3,086;3,473;4,754;5,509;5,500;5,937;6,248;6,627;7,025;6,711;5,728;5,049
castillalamancha;5.2.3.-Robos con fuerza en establecimientos;1,471;1,369;1,406;1,236;1,186;1,685;1,804;2,159;2,215;2,127;2,073;2,197;2,215;2,572;2,867
castillalamancha;5.3.-Robos con violencia o intimidacion;938;926;899;882;754;978;968;1,026;1,006;1,010;1,091;1,388;1,419;1,346;1,220
castillalamancha;5.3.1.-Robos con violencia en via pública;482;512;534;508;398;586;570;614;608;644;690;849;873;804;772
castillalamancha;5.3.2.-Robos con violencia en viviendas;137;134;97;84;95;82;98;80;82;83;95;137;127;130;95
castillalamancha;5.3.3.-Robos con violencia en establecimientos;185;166;149;172;172;162;150;166;150;123;159;188;205;191;226
castillalamancha;5.4.-Sustraccion de vehiculos;752;645;654;521;488;615;668;1,105;1,511;1,283;1,197;1,261;1,450;1,661;1,876
castillalamancha;5.5.-Estafas;18,255;19,751;18,821;14,220;13,307;11,708;9,482;6,232;4,945;4,457;3,957;3,674;3,751;3,306;2,754
castillalamancha;5.5.1.-Estafas informaticas;16,038;17,335;13,608;9,797;8,405;6,445;4,789;2,796;2,075;2,012;1,509;1,255;1,092;861;689
castillalamancha;5.6.-Danos;9,082;8,893;9,024;8,075;7,228;8,681;8,469;7,785;7,335;7,897;8,177;8,434;8,840;8,962;9,568
castillalamancha;5.7.-Contra la propiedad intelectual/industrial;51;32;20;18;14;38;86;29;23;22;37;55;48;57;81
castillalamancha;5.8.-Blanqueo de capitales;39;49;32;21;13;19;8;8;8;5;4;4;3;6;6
castillalamancha;5.9.-Otros contra el patrimonio;3,119;2,756;2,859;2,570;2,411;2,715;2,428;1,960;1,648;1,622;1,830;1,299;1,042;911;720
cataluna;1. CONTRA LAS PERSONAS;25,769;23,941;23,180;19,854;16,105;21,109;20,684;20,582;19,569;27,269;36,313;35,622;37,270;38,159;37,650
cataluna;1.1.-Homicidios dolosos/asesinatos;353;310;264;270;198;248;213;209;196;151;197;178;275;242;270
cataluna;1.1.1.-Homicidios dolosos/asesinatos consumados;69;71;63;57;48;58;45;65;54;42;57;43;74;76;97
cataluna;1.2.-Lesiones;16,111;15,019;14,828;12,456;9,617;14,002;13,726;13,698;13,227;13,296;13,505;13,579;14,751;15,687;15,552
cataluna;1.3.-Malos tratos ambito familiar;8,646;8,064;7,644;6,748;5,938;6,488;6,358;6,251;6,112;5,828;6,230;6,311;6,266;6,365;6,481
cataluna;1.4.-Otros contra las personas;659;548;444;380;352;371;387;424;34;7,994;16,381;15,554;15,978;15,865;15,347
cataluna;2. CONTRA LA LIBERTAD;24,332;23,322;21,400;20,540;15,736;18,675;18,562;18,110;18,226;15,034;10,222;10,144;10,819;10,904;10,503
cataluna;2.1.-Malos tratos habituales en el ambito familiar;1,738;1,794;1,716;1,693;1,315;1,507;1,730;1,740;1,962;2,771;2,574;2,621;3,301;3,370;3,878
cataluna;2.2.-Otros contra la libertad;22,594;21,528;19,684;18,847;14,421;17,168;16,832;16,370;16,264;12,263;7,648;7,523;7,518;7,534;6,625
cataluna;3. LIBERTAD SEXUAL;4,589;4,361;3,671;3,316;2,306;3,034;2,598;2,212;2,249;1,928;1,877;1,647;1,633;1,862;1,825
cataluna;3.1.-Agresion sexual;2,249;2,095;1,986;1,766;1,149;1,545;1,277;1,151;1,301;970;904;795;844;931;823
cataluna;3.2.-Agresion sexual con penetracion;1,744;1,589;1,184;1,091;695;953;821;600;455;439;457;415;388;469;495
cataluna;3.3.-Corrupcion de menores o incapacitados;10;8;17;5;4;7;6;5;4;16;8;5;6;11;59
cataluna;3.4.-Pornografia de menores;174;198;189;140;172;211;225;168;157;195;182;122;138;173;157
cataluna;3.5.-Otros contra la libertad sexual;412;471;295;314;286;318;269;288;332;308;326;310;257;278;291
cataluna;4. RELACIONES FAMILIARES;1,085;1,110;1,082;1,022;953;1,134;1,216;1,320;1,417;2,012;2,294;2,358;2,416;2,087;1,800
cataluna;5. PATRIMONIO;424,724;431,028;400,321;322,683;300,574;425,113;409,295;361,790;344,365;350,445;351,985;361,187;379,323;375,452;388,023
cataluna;5.1.-Hurtos;168,501;170,164;162,170;118,746;110,685;192,053;192,054;173,684;162,942;165,519;164,413;166,537;177,583;179,788;181,198
cataluna;5.2.-Robos con fuerza en las cosas;60,278;62,232;64,306;57,748;55,190;76,612;71,069;65,020;66,104;68,484;71,452;78,187;83,150;83,564;93,702
cataluna;5.2.1.-Robos con fuerza en las cosas en el interior de vehiculos;27,885;27,779;29,452;29,150;148;33,293;27,340;24,940;24,579;23,665;25,644;30,795;33,772;37,019;44,719
cataluna;5.2.2.-Robos con fuerza en viviendas;17,465;18,485;20,019;16,631;17,116;23,753;25,792;23,313;23,655;24,592;22,825;23,636;23,319;21,249;21,337
cataluna;5.2.3.-Robos con fuerza en establecimientos;6,828;7,502;6,671;5,174;6,744;11;9;7;21;18;11;8;8;19;26
cataluna;5.3.-Robos con violencia o intimidacion;24,734;25,421;25,049;20,501;17,082;26,448;22,506;20,615;20,152;21,514;24,213;28,950;31,792;27,961;25,154
cataluna;5.3.1.-Robos con violencia en via pública;18,165;18,950;18,090;14,773;12,297;82;69;61;66;81;57;64;77;54;63
cataluna;5.3.2.-Robos con violencia en viviendas;982;1,012;1,098;959;861;390;387;386;344;343;642;1,408;1,595;1,325;1,344
cataluna;5.3.3.-Robos con violencia en establecimientos;2,495;2,211;2,495;1,996;1,682;11;8;6;6;7;4;6;7;8;10
cataluna;5.4.-Sustraccion de vehiculos;8,545;8,466;7,411;6,168;6,130;9,711;9,193;8,855;7,976;8,651;9,102;10,426;11,227;11,887;12,538
cataluna;5.5.-Estafas;107,662;111,977;88,657;67,922;64,214;63,313;62,522;45,006;38,526;35,532;29,703;25,363;24,758;17,427;16,275
cataluna;5.5.1.-Estafas informaticas;72,139;73,994;61,607;47,314;46,982;40,016;36,808;26,574;18,077;15,791;593;585;583;491;552
cataluna;5.6.-Danos;39,165;38,765;39,074;38,295;35,469;43,433;40,176;38,529;38,365;38,961;37,739;39,097;40,860;43,557;47,961
cataluna;5.7.-Contra la propiedad intelectual/industrial;301;235;243;288;178;260;346;233;352;376;421;444;553;670;596
cataluna;5.8.-Blanqueo de capitales;98;66;47;38;31;22;23;27;42;29;34;34;28;28;21
cataluna;5.9.-Otros contra el patrimonio;15,440;13,702;13,364;12,977;11,595;13,261;11,406;9,821;9,906;11,379;14,908;12,149;9,372;10,570;10,578
valencia;1. CONTRA LAS PERSONAS;30,880;28,927;27,316;23,240;20,231;23,332;22,039;21,164;20,598;26,573;33,506;32,380;33,893;34,817;34,995
valencia;1.1.-Homicidios dolosos/asesinatos;195;200;175;152;126;148;118;106;125;100;100;76;114;125;106
valencia;1.1.1.-Homicidios dolosos/asesinatos consumados;57;34;38;35;37;40;25;41;30;48;32;32;51;46;46
valencia;1.2.-Lesiones;14,906;14,127;13,947;11,279;9,208;11,815;11,366;11,154;11,061;10,833;11,396;11,626;12,168;12,963;12,694
valencia;1.3.-Malos tratos ambito familiar;15,062;14,053;12,711;11,402;10,608;11,011;10,209;9,653;9,254;9,032;8,763;8,356;8,319;8,416;9,012
valencia;1.4.-Otros contra las personas;717;547;483;407;289;358;346;251;158;6,608;13,247;12,322;13,292;13,313;13,183
valencia;2. CONTRA LA LIBERTAD;18,058;17,389;15,991;15,180;13,334;13,046;12,488;12,282;11,726;7,906;4,413;4,454;4,640;4,863;4,431
valencia;2.1.-Malos tratos habituales en el ambito familiar;2,212;2,480;2,441;1,847;1,631;1,764;1,670;1,500;1,488;1,518;1,721;1,762;1,908;1,973;1,573
valencia;2.2.-Otros contra la libertad;15,846;14,909;13,550;13,333;11,703;11,282;10,818;10,782;10,238;6,388;2,692;2,692;2,732;2,890;2,858
valencia;3. LIBERTAD SEXUAL;2,679;2,575;2,390;2,173;1,518;1,749;1,580;1,348;1,343;1,216;1,143;1,102;1,175;1,244;1,303
valencia;3.1.-Agresion sexual;1,711;1,666;1,485;1,407;904;1,057;988;797;775;658;625;567;653;640;636
valencia;3.2.-Agresion sexual con penetracion;514;472;513;387;279;289;252;179;186;156;154;202;163;226;230
valencia;3.3.-Corrupcion de menores o incapacitados;57;53;66;67;43;57;35;76;52;86;63;57;55;45;39
valencia;3.4.-Pornografia de menores;109;89;78;73;62;100;87;85;78;88;71;59;73;109;167
valencia;3.5.-Otros contra la libertad sexual;288;295;248;239;230;246;218;211;252;228;230;217;231;224;231
valencia;4. RELACIONES FAMILIARES;936;910;912;838;793;858;890;889;880;988;1,056;967;1,018;941;802
valencia;5. PATRIMONIO;204,439;211,176;191,865;161,695;137,438;174,091;175,524;173,357;177,644;179,704;187,271;201,297;217,131;221,719;225,991
valencia;5.1.-Hurtos;73,828;77,573;71,315;57,738;43,801;68,122;70,169;73,922;77,169;78,850;80,030;84,869;88,359;89,452;90,667
valencia;5.2.-Robos con fuerza en las cosas;35,094;37,462;33,752;28,638;26,465;35,068;36,312;37,439;40,730;41,473;47,121;53,803;59,885;63,936;67,089
valencia;5.2.1.-Robos con fuerza en las cosas en el interior de vehiculos;12,825;14,322;11,423;9,144;8,189;10,880;9,906;11,287;11,346;10,618;12,860;15,308;18,383;21,679;15,266
valencia;5.2.2.-Robos con fuerza en viviendas;14,335;14,495;14,601;12,853;11,681;15,271;17,440;16,928;19,096;19,712;21,449;23,665;25,388;18,988;23,268
valencia;5.2.3.-Robos con fuerza en establecimientos;3,166;3,788;3,216;2,858;3,276;4,276;4,222;4,472;4,919;4,850;5,424;5,681;6,056;6,155;7,526
valencia;5.3.-Robos con violencia o intimidacion;6,242;6,170;5,663;4,578;3,772;4,950;5,065;5,393;5,917;6,152;6,988;9,141;10,643;10,166;10,385
valencia;5.3.1.-Robos con violencia en via pública;3,803;3,812;3,532;2,732;2,189;3,020;2,976;3,341;3,725;3,925;4,542;5,974;7,154;5,767;7,295
valencia;5.3.2.-Robos con violencia en viviendas;539;491;449;442;397;452;442;456;462;535;569;770;848;670;646
valencia;5.3.3.-Robos con violencia en establecimientos;1,015;957;839;754;628;766;818;805;851;782;911;1,138;1,163;1,048;1,288
valencia;5.4.-Sustraccion de vehiculos;3,302;3,258;3,160;2,491;2,377;3,190;3,282;3,918;4,390;4,358;4,660;5,119;5,986;7,072;8,033
valencia;5.5.-Estafas;51,182;51,860;43,615;36,352;32,774;29,697;27,937;20,851;17,631;15,845;13,978;12,428;12,604;11,011;9,050
valencia;5.5.1.-Estafas informaticas;40,723;41,313;29,040;24,428;21,917;15,758;11,283;7,989;6,246;5,004;3,898;3,133;3,193;2,451;2,269
valencia;5.6.-Danos;26,233;26,859;26,456;25,274;22,310;26,649;26,842;26,863;27,228;27,949;29,589;31,442;35,361;36,589;37,604
valencia;5.7.-Contra la propiedad intelectual/industrial;229;225;195;196;146;177;285;235;245;254;243;302;316;283;494
valencia;5.8.-Blanqueo de capitales;129;78;55;77;63;55;55;46;44;24;30;50;21;7;11
valencia;5.9.-Otros contra el patrimonio;8,200;7,691;7,654;6,351;5,730;6,183;5,577;4,690;4,290;4,799;4,632;4,143;3,956;3,203;2,658
extremadura;1. CONTRA LAS PERSONAS;3,883;3,787;3,304;3,086;2,740;3,185;3,097;3,184;3,130;4,245;5,421;5,210;5,312;5,655;6,059
extremadura;1.1.-Homicidios dolosos/asesinatos;35;21;10;25;21;13;17;24;17;9;13;17;21;26;15
extremadura;1.1.1.-Homicidios dolosos/asesinatos consumados;7;4;3;4;9;5;4;8;7;1;4;7;13;10;3
extremadura;1.2.-Lesiones;2,349;2,357;1,972;1,849;1,579;1,932;1,955;2,087;2,059;1,902;1,936;1,926;2,057;2,150;2,380
extremadura;1.3.-Malos tratos ambito familiar;1,433;1,347;1,267;1,146;1,084;1,173;1,050;1,034;1,019;1,013;986;980;961;948;924
extremadura;1.4.-Otros contra las personas;66;62;55;66;56;67;75;39;35;1,321;2,486;2,287;2,273;2,531;2,740
extremadura;2. CONTRA LA LIBERTAD;3,163;3,069;2,637;2,602;2,382;2,423;2,198;2,233;2,092;1,312;706;663;629;683;570
extremadura;2.1.-Malos tratos habituales en el ambito familiar;309;311;272;311;261;265;208;208;246;277;305;320;262;267;206
extremadura;2.2.-Otros contra la libertad;2,854;2,758;2,365;2,291;2,121;2,158;1,990;2,025;1,846;1,035;401;343;367;416;364
extremadura;3. LIBERTAD SEXUAL;393;310;295;223;184;214;209;153;157;164;143;147;134;178;159
extremadura;3.1.-Agresion sexual;232;188;198;136;112;135;131;90;96;91;72;88;89;105;85
extremadura;3.2.-Agresion sexual con penetracion;64;44;51;36;24;25;33;16;20;20;13;27;20;24;27
extremadura;3.3.-Corrupcion de menores o incapacitados;38;12;8;10;8;12;5;5;11;10;12;6;3;5;8
extremadura;3.4.-Pornografia de menores;7;11;10;12;5;9;11;12;7;15;9;8;5;16;18
extremadura;3.5.-Otros contra la libertad sexual;52;55;28;29;35;33;29;30;23;28;37;18;17;28;21
extremadura;4. RELACIONES FAMILIARES;246;231;238;214;204;224;209;216;207;231;252;251;248;159;182
extremadura;5. PATRIMONIO;22,650;23,968;22,187;17,870;16,499;18,583;18,333;18,059;18,274;18,942;19,164;20,336;20,166;19,568;20,060
extremadura;5.1.-Hurtos;6,292;6,793;6,388;4,820;4,228;6,566;6,616;7,245;7,456;8,083;8,619;9,523;9,014;8,411;8,710
extremadura;5.2.-Robos con fuerza en las cosas;3,433;3,740;3,490;2,773;2,876;3,379;3,747;3,994;4,414;4,585;4,687;5,079;5,207;5,313;5,273
extremadura;5.2.1.-Robos con fuerza en las cosas en el interior de vehiculos;641;792;565;511;481;706;685;745;880;878;877;971;1,129;1,260;1,224
extremadura;5.2.2.-Robos con fuerza en viviendas;1,180;1,266;1,198;962;990;994;1,178;1,288;1,337;1,334;1,407;1,439;1,398;1,030;1,187
extremadura;5.2.3.-Robos con fuerza en establecimientos;562;579;614;461;559;646;818;862;962;904;931;965;918;1,033;1,080
extremadura;5.3.-Robos con violencia o intimidacion;288;312;296;224;211;320;252;277;302;308;297;390;388;378;441
extremadura;5.3.1.-Robos con violencia en via pública;136;147;154;121;102;177;138;152;175;187;174;206;239;222;275
extremadura;5.3.2.-Robos con violencia en viviendas;33;47;52;33;29;35;27;23;30;38;27;48;37;42;29
extremadura;5.3.3.-Robos con violencia en establecimientos;84;81;61;49;58;71;57;66;56;52;55;81;73;71;100
extremadura;5.4.-Sustraccion de vehiculos;167;195;163;152;151;144;160;336;416;382;379;402;418;560;610
extremadura;5.5.-Estafas;7,816;8,335;7,595;5,765;5,381;3,873;3,454;2,268;1,953;1,748;1,344;1,048;1,124;1,005;907
extremadura;5.5.1.-Estafas informaticas;7,050;7,449;6,577;4,594;3,917;2,410;1,879;1,031;852;602;517;330;400;287;279
extremadura;5.6.-Danos;3,653;3,654;3,521;3,380;2,967;3,504;3,225;3,326;3,171;3,196;3,173;3,269;3,510;3,560;3,816
extremadura;5.7.-Contra la propiedad intelectual/industrial;16;25;12;15;25;42;63;23;37;34;37;48;36;43;58
extremadura;5.8.-Blanqueo de capitales;12;7;4;7;5;2;1;2;3;3;1;0;0;0;0
extremadura;5.9.-Otros contra el patrimonio;973;907;718;734;655;753;815;588;522;603;627;577;469;298;245
galicia;1. CONTRA LAS PERSONAS;9,976;9,981;9,217;7,841;7,268;8,027;8,039;7,927;7,854;11,296;14,264;14,182;14,814;14,957;14,617
galicia;1.1.-Homicidios dolosos/asesinatos;63;70;52;52;44;41;33;40;35;56;62;50;46;53;50
galicia;1.1.1.-Homicidios dolosos/asesinatos consumados;18;18;7;18;11;16;8;13;12;19;20;15;16;14;17
galicia;1.2.-Lesiones;5,834;5,748;5,454;4,606;4,044;4,804;4,876;4,905;4,989;5,114;5,147;5,337;5,765;5,977;5,876
galicia;1.3.-Malos tratos ambito familiar;3,660;3,810;3,480;2,979;3,022;3,004;2,939;2,832;2,714;2,651;2,559;2,645;2,435;2,525;2,477
galicia;1.4.-Otros contra las personas;419;353;231;204;158;178;191;150;116;3,475;6,496;6,150;6,568;6,402;6,214
galicia;2. CONTRA LA LIBERTAD;8,189;7,986;6,959;6,840;6,035;5,692;5,819;5,935;5,838;3,736;1,761;1,667;1,761;1,807;1,750
galicia;2.1.-Malos tratos habituales en el ambito familiar;843;859;691;606;620;700;631;658;703;651;635;635;658;784;851
galicia;2.2.-Otros contra la libertad;7,346;7,127;6,268;6,234;5,415;4,992;5,188;5,277;5,135;3,085;1,126;1,032;1,103;1,023;899
galicia;3. LIBERTAD SEXUAL;880;924;719;707;547;634;536;459;434;434;377;340;358;398;389
galicia;3.1.-Agresion sexual;525;502;433;396;309;368;341;281;241;263;227;196;222;240;213
